Type	Test	#Threads	Runtime
PointerBased	Removal		1	0.5483882
Coarse-Grain	Removal		1	0.6414602
Fine-Grain	Removal		1	0.8242614
Optimistic	Removal		1	0.4963191
LockFree	Removal		1	0.9480442
Coarse-Grain	Removal		2	0.8050594
Fine-Grain	Removal		2	0.7816549
Optimistic	Removal		2	0.3740149
LockFree	Removal		2	0.8342256
Coarse-Grain	Removal		3	0.8199557
Fine-Grain	Removal		3	1.1443133
Optimistic	Removal		3	0.3016834
LockFree	Removal		3	0.650618
Coarse-Grain	Removal		4	0.8938379
Fine-Grain	Removal		4	1.2543498
Optimistic	Removal		4	0.3443134
LockFree	Removal		4	0.4336034
Coarse-Grain	Removal		5	0.9323637
Fine-Grain	Removal		5	1.5850519
Optimistic	Removal		5	0.3351186
LockFree	Removal		5	0.3435777
Coarse-Grain	Removal		6	1.1374155
Fine-Grain	Removal		6	1.3914734
Optimistic	Removal		6	0.2355011
LockFree	Removal		6	0.4048235
Coarse-Grain	Removal		7	1.0859991
Fine-Grain	Removal		7	1.6412662
Optimistic	Removal		7	0.2296501
LockFree	Removal		7	0.3341983
Coarse-Grain	Removal		8	1.1254153
Fine-Grain	Removal		8	1.6138872
Optimistic	Removal		8	0.2208294
LockFree	Removal		8	0.4269153
Coarse-Grain	Removal		9	1.1633756
Fine-Grain	Removal		9	1.5978073
Optimistic	Removal		9	0.3267815
LockFree	Removal		9	0.2903375
Coarse-Grain	Removal		10	1.2671487
Fine-Grain	Removal		10	1.5856083
Optimistic	Removal		10	0.2111724
LockFree	Removal		10	0.4306629
Coarse-Grain	Removal		11	1.3288248
Fine-Grain	Removal		11	1.6508951
Optimistic	Removal		11	0.2193465
LockFree	Removal		11	0.4549236
Coarse-Grain	Removal		12	1.3486823
Fine-Grain	Removal		12	1.6846085
Optimistic	Removal		12	0.2112975
LockFree	Removal		12	0.4245261
